"","source","lon","lat","z","Tg","PPFD","vpd","alpha","nhx","noy","ndep","nre","pft"
"18","Du",149.15,-37.6,145,17.4558263601325,431.424482884868,0.832340612346318,0.940816654140586,0.0510119819327405,0.117826682564459,0.1688386644972,0.70126,"forest"
"19","Du",-71.42,-37.38,1282,14.081326250761,482.260440367416,0.99286796331806,0.838917855027299,0.0822117724700978,0.0638079400125303,0.146019712482628,0.62433796,"forest"
"20","Du",-71.75,-36.75,542,15.7776789785565,487.437550974962,0.852128641116135,0.83932740653588,0.0813668029088723,0.065321777996264,0.146688580905136,0.441,"forest"
"21","Du",146,-36,130,20.2922089075365,474.527102986467,1.39212636626905,0.850166565959049,0.149267039800945,0.184605687856674,0.333872727657619,0.4705714286,"forest"
"22","Du",151.29,-33.58,99,20.8099918328892,445.048865431066,1.17749564164599,0.954559819616625,0.0630383064088069,0.175194618733306,0.238232925142113,0.52415086,"forest"
"23","Du",151,-33,253,20.3696652563635,452.223273398165,1.27191694425795,0.948698073689646,0.0630383064088069,0.175194618733306,0.238232925142113,0.658285,"forest"
"24","Du",146.15,-32.97,197,22.4918616052403,507.629890238857,1.81956316338716,0.811708003033524,0.089425051290738,0.142334044763916,0.231759096054654,0.45154729,"forest"
"25","Du",115.7,-30.1,283,23.3034142873971,546.766249206491,1.82774850927901,0.774729467748402,0.0269362900013986,0.0540611504724151,0.0809974404738138,0.4784199167,"forest"
"26","Du",31.95,-28.22,314,24.9977879112707,459.388222486307,1.32961057454128,0.945462206227422,0.130243150811446,0.297897858055014,0.428141008866461,0.4587707487,"forest"
"27","Du",-58,-27.5,66,25.2561109497343,468.992283127689,1.34857669138839,0.981298284811111,0.433487241205416,0.186622693350441,0.620109934555857,0.4036123743,"forest"
"28","Du",-47.63,-21.7,640,25.878371457131,467.770821613495,1.43590561793173,0.978988749104469,0.526457065030148,0.192844695950809,0.719301760980957,0.4523621976,"forest"
"29","Du",-54.41,-16.5,292,30.1614725697559,494.178463480994,1.76886632067574,0.927633496677746,0.480088321786178,0.165600224545127,0.645688546331305,0.442144,"forest"
"30","Du",-47.9,-15.93,1066,26.2788944466558,496.172750637225,1.49511901719605,0.923315721764624,0.427634443107404,0.12161496360051,0.549249406707914,0.608276,"forest"
"31","Du",-47.87,-15.92,1162,25.8027042847169,497.714130379293,1.44844784022189,0.925681675826777,0.427634443107404,0.12161496360051,0.549249406707914,0.4298333333,"forest"
"32","Du",-56.07,-15.73,187,30.7265137646787,495.732533273949,1.78057728513513,0.945765328153592,0.339252702499691,0.178515249961301,0.517767952460992,0.44737,"forest"
"33","Du",-74.35,-4.73,113,30.108229027808,378.200889618542,1.40470370461425,0.999583591470893,0.0946945379439153,0.0900506636029796,0.184745201546895,0.328896,"forest"
"34","Du",-61.33,-3.33,40,30.229698711619,404.534017020162,1.17782727109665,0.99474118451416,0.129249896658094,0.106902047991753,0.236151944649847,0.4416666667,"forest"
"35","Du",-67.05,1.93,94,29.7129463426414,357.393544875218,1.21737023944907,0.999958052484225,0.0849669752152343,0.0814455414288922,0.166412516644126,0.4414285714,"forest"
"36","Du",9,5.18,365,28.6397159504394,362.260265550627,1.24937873521916,0.971782548418725,0.395083697218644,0.391784013886201,0.786867711104845,0.2954545455,"forest"
"37","Du",116.55,6.08,3760,11.1416229867043,350.684378280079,NA,1.00401015058007,0.0989672753371691,0.11112546018864,0.210092735525809,0.4761567895,"forest"
"38","Du",80.82,6.92,1931,20.1251609330564,431.455301995317,0.456088789371993,1.03838770536457,0.114053456406844,0.205328494310379,0.319381950717223,0.3292,"forest"
"39","Du",80.65,7.15,946,25.2587239062465,450.091603088836,0.949095716231885,0.995653479078492,0.132636412978172,0.192989254468366,0.325625667446538,0.49222,"forest"
"40","Du",-66.14,7.59,50,31.26502607171,471.533964558844,1.80783416111909,0.903987404748848,0.305225400548232,0.131807422167376,0.437032822715609,0.55384,"forest"
"41","Du",-70.28,8.64,279,30.0463788789184,443.452999541323,1.58985078403043,0.950091257232501,0.249888879688163,0.185552640180839,0.435441519869001,0.48052,"forest"
"42","Du",-67.37,8.85,91,31.1321968646128,463.299539055025,1.80084144724142,0.905051847665108,0.456966745226007,0.17580398838771,0.632770733613717,0.45634,"forest"
"43","Du",-62.73,9,50,29.7884072266193,487.659016358147,1.39900146278565,0.954695334030404,0.150872903434854,0.0921255522652676,0.242998455700121,0.51718,"forest"
"44","Du",-79.84,9.11,64,28.6054259885363,425.627937448383,1.04853468220907,0.967540719435078,0.141763634587589,0.182914680556247,0.324678315143836,0.42176225,"forest"
"45","Du",-64.28,10.35,190,29.1975189030449,514.286915192205,1.3688636936814,0.901011047450468,0.0931911080291397,0.0908027479523107,0.18399385598145,0.5905,"forest"
"46","Du",-1.4,10.43,163,32.3266825257903,527.2011893818,2.66854706707858,0.86377548266846,0.203143180200928,0.274488748688447,0.477631928889375,0.5923955556,"forest"
"47","Du",-76.65,18.1,1465,19.3788516896003,531.106692313329,NA,1.05160999367561,0.0673090935145554,0.127248498562135,0.194557592076691,0.3615909091,"forest"
"48","Du",-99.02,18.47,1120,29.5051484805086,550.495533593835,2.311905530935,0.846727914337383,0.186937896828902,0.322121827225936,0.509059724054838,0.4216693333,"forest"
"49","Du",-95.11,18.58,486,27.5147220776729,475.763141795058,1.4779414759588,0.957844673337903,0.358379335779893,0.28274109332185,0.641120429101743,0.4514,"forest"
"50","Du",-155.29,19.38,1072,21.7695328068879,523.794439710569,0.815915437653026,0.961042144318131,0.0204706946878057,0.0364741373218988,0.0569448320097045,0.2906590826,"forest"
"51","Du",-105.02,19.48,207,30.3731571802734,556.67419095458,1.99088106899473,0.831542105781062,0.125028447885262,0.309863843415913,0.434892291301175,0.3515,"forest"
"52","Du",-101.34,19.62,2485,20.2814708089684,552.379648704082,1.35336568298842,0.84354587785363,0.273758629434987,0.367620326970753,0.64137895640574,0.844,"forest"
"53","Du",-155.47,19.83,3972,11.3077866175965,530.500656142327,0.222137431171496,0.905832917231793,0.0204706946878057,0.0364741373218988,0.0569448320097045,0.457,"forest"
"54","Du",100.42,21.45,1225,23.9275905849014,381.280339197278,1.24160952841237,0.958547112390779,0.450060624825327,0.255941267860563,0.70600189268589,0.4922857143,"forest"
"55","Du",-159.53,22.1,765,21.655826104245,481.227270052401,0.807488698221129,0.996254505706591,0.0165473439387585,0.0594708845019341,0.0760182284406925,0.7,"forest"
"56","Du",112.9,22.68,50,24.5987981765452,433.991518329277,0.990279770734406,0.976337478467223,0.291602319792697,0.518884274520372,0.810486594313069,0.587462875,"forest"
"57","Du",112.54,23.16,278,23.1395472628955,394.870677698053,0.945381756078737,0.985316244800988,0.503398274120532,0.71162476037678,1.21502303449731,0.50170224,"forest"
"58","Du",117.41,23.63,0,24.9084004818815,426.742524059391,1.06287910746439,0.972496365076015,0.288202045779479,0.555614356931887,0.843816402711366,0.6202695,"forest"
"59","Du",117.35,24.5,64,24.2550972000293,420.378484938567,1.02300729713459,0.974946102232518,0.354643305665568,0.574994618955411,0.92963792462098,0.56136486,"forest"
"60","Du",107.93,25.28,866,19.4629115269194,338.501070815013,0.818163227998377,0.997717238949644,0.536944041126653,0.47053808601279,1.00748212713944,0.38500718,"forest"
"61","Du",101.54,25.41,2072,19.2474128899428,415.421898011028,1.12277622542075,0.943779034347278,0.417172264111669,0.321998235426451,0.739170499538121,0.708,"forest"
"62","Du",116.41,25.68,290,22.3479005113296,383.221502506095,1.04030443395205,0.987987168943212,0.455621349184137,0.604284501389453,1.05990585057359,0.5246155,"forest"
"63","Du",101.82,25.83,1157,25.4576222185114,421.468372289938,1.48038517038101,0.935488032417801,0.417172264111669,0.321998235426451,0.739170499538121,0.7135304,"forest"
"64","Du",114.28,26.09,569,20.0756004044993,372.647193486122,0.861542787586166,0.993557847943917,0.421221282921339,0.6403753945702,1.06159667749154,0.49924,"forest"
"65","Du",117.45,26.17,211,22.0642068793953,377.746904891413,0.976778918581561,0.989220220515295,0.43820952114306,0.617824683063909,1.05603420420697,0.4381521835,"forest"
"66","Du",117.48,26.19,393,21.4344861358073,375.124734496542,0.925526989272842,0.991476839928293,0.43820952114306,0.617824683063909,1.05603420420697,0.4518161773,"forest"
"67","Du",105.79,26.29,1377,17.3514728711078,347.587250423446,0.764130805761756,0.995404423993136,0.618564015940616,0.523069441318512,1.14163345725913,0.3390488,"forest"
"68","Du",106.99,26.47,1101,17.823005629369,335.890898431705,0.736776009562188,0.998022715803631,0.592763492935582,0.544665068387985,1.13742856132357,0.661472,"forest"
"69","Du",117.72,26.51,218,21.4090320585553,364.336320949927,0.958829759061959,0.993040853999985,0.43820952114306,0.617824683063909,1.05603420420697,0.509045,"forest"
"70","Du",115.06,26.73,92,21.5988547977443,369.686877395447,1.02872214384128,0.990341044564694,0.421221282921339,0.6403753945702,1.06159667749154,0.475617125,"forest"
"71","Du",128.25,26.75,257,21.7203272063683,405.980322463789,0.832172964654304,0.99965630608878,0.147287170353689,0.268472150752419,0.415759321106108,0.32257,"forest"
"72","Du",109.6,26.85,481,18.9073653005881,323.548939925281,0.786786730193266,0.996574131955146,0.595824941208488,0.66699185810591,1.2628167993144,0.4760601915,"forest"
"73","Du",83.6,27.28,104,29.4875646241985,486.352087665991,2.10333248556516,0.867459151465936,1.35866534082513,0.572157916269804,1.93082325709494,0.6140527708,"forest"
"74","Du",114.5,27.29,335,19.893915966208,367.734717142571,0.872157409855563,0.993114321413964,0.432047407878073,0.696193494294819,1.12824090217289,0.532,"forest"
"75","Du",37,28,1069,25.3991101575568,595.664301961529,2.72044091569284,0.554120991863109,0.05556259402319,0.126465332743369,0.182027926766559,0.5548625,"forest"
"76","Du",117.79,28.41,102,20.557953172385,366.914276763787,0.944156958768955,0.995390832772283,0.490323967055271,0.693363537913875,1.18368750496915,0.7651015,"forest"
"77","Du",106.37,29.75,248,20.3968471626723,314.721009979667,0.828018312063643,0.998837028146935,0.804870708992607,0.795341955988031,1.60021266498064,0.465622,"forest"
"78","Du",121.78,29.8,140,18.726329582378,383.592512403775,0.697830722546767,0.997720230967807,0.371458916287673,0.552669308687511,0.924128224975184,0.379042,"forest"
"79","Du",121.65,29.87,4,18.8225092691282,388.9097319422,0.710132462747033,0.996983068275746,0.371458916287673,0.552669308687511,0.924128224975184,0.497095,"forest"
"80","Du",121.63,30.99,4,18.5567043037287,389.858409549106,0.738347216287135,0.995818600492836,0.383438270342977,0.597695356921146,0.981133627264123,0.415,"forest"
"81","Du",121.12,32.46,4,17.9053459773759,394.669145255882,0.764971557535784,0.992622666386067,0.394600131009754,0.540007376357129,0.934607507366883,0.4649,"forest"
