lon,lat,site,references,z,year_start,year_end,Begin_year,End_year,NPP.foliage,NPP.stem,NPP.wood,NPP.fine,NPP.coarse,ANPP_2,BNPP_1,TNPP_1,age,LAI,observedfAPAR,GPP,soilCN,pft,contributor,CN_stem_final,CN_wood_final,CN_leaf_final,CN_root_final,lnf_obs_final,bnf_obs_final,wnf_obs_final,PPFD_total,Tg,PPFD,vpd,fAPAR,mapped_age,CNrt,LMA,vcmax25,nhx,noy,ndep,ID
-120.7478,39.107,Sara2_NPP144,"Vicca et al. 2012;Luyssaert et al., 2007",1261,2005,2005,2005,2005,33,NA,70,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,46.885,NA,0.7038498453663219,NA,NA,15483.844754618105,16.098094050628344,491.7243826025075,1.2594050149380291,0.34330838138108155,43.135128769384245,9.72413081890491,82.48708409171567,141.27864814150632,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID647
-120.7455,39.0776,Sara2_NPP120,"Vicca et al. 2012;Luyssaert et al., 2007",1176,2005,2005,2005,2005,16,NA,387,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,53.687999999999995,NA,0.2980181791089257,NA,NA,15483.553170383444,16.44220981155359,491.6626945656266,1.2729231634388563,0.3460401077540074,41.8138795892087,9.635361364558,82.05633297080217,138.460866786526,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID648
-120.7446,39.1018,Sara2_NPP150,"Vicca et al. 2012;Luyssaert et al., 2007",1290,2005,2005,2005,2005,53,NA,140,NA,NA,193,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,37.879999999999995,NA,1.3991552270327352,NA,NA,15486.341420021323,15.983738375160286,491.83534235824123,1.254924405016787,0.34211238046030934,43.514038677354364,9.753934013872883,82.65851113824263,142.2355122134838,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID649
-120.742,39.0808,Sara2_NPP139,"Vicca et al. 2012;Luyssaert et al., 2007",1235,2005,2005,2005,2005,139,NA,220,NA,NA,359,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,40.78,NA,3.4085335948994606,NA,NA,15486.42811500426,16.20708333285328,491.8084531165192,1.2637219215405333,0.3438357581623779,42.64750852620118,9.696347530228024,82.3842703226384,140.41050804758208,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID650
-120.7397,39.1209,Sara2_NPP153,"Vicca et al. 2012;Luyssaert et al., 2007",1297,2005,2005,2005,2005,110,NA,260,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,44.12833333333333,NA,2.4927295388450355,NA,NA,15484.179810042466,15.95310133366637,491.7771833482858,1.2539315972801452,0.34172932208154877,43.62045777420181,9.75861553041829,82.65358188021425,142.47579399777786,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID651
-120.7397,39.1209,Sara2_NPP153,"Vicca et al. 2012;Luyssaert et al., 2007",1297,2005,2005,2005,2005,149,NA,200,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,44.12833333333333,NA,3.37651546625373,NA,NA,15484.179810042466,15.95310133366637,491.7771833482858,1.2539315972801452,0.34172932208154877,43.62045777420181,9.75861553041829,82.65358188021425,142.47579399777786,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID651
-120.737,39.0853,Sara2_NPP145,"Vicca et al. 2012;Luyssaert et al., 2007",1264,2005,2005,2005,2005,55,NA,190,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,15487.537955353873,16.091461497428323,491.87776486360036,1.2592946594289294,0.3426123901396293,43.036383428474544,9.72510583134493,82.535619704893,141.3706261810424,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID652
-120.7349,39.0916,Sara2_NPP151,"Vicca et al. 2012;Luyssaert et al., 2007",1295,2005,2005,2005,2005,72,NA,300,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,15488.413739662314,15.967056806082443,491.933699214253,1.254455241224979,0.3414380756558572,43.47894808514414,9.75670870206603,82.69706384656351,142.3977347440753,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID653
-120.7283,40.1268,Sara2_NPP213,"Vicca et al. 2012;Luyssaert et al., 2007",2005,2004,2004,2004,2004,52,NA,190,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,56.915,NA,0.9136431520688747,NA,NA,15311.190968418,12.285400723582475,484.89112628796346,1.1003440215167057,0.2627087779236325,45.810803730481915,10.36623788232385,81.84107901185486,171.8414620241786,0.04923726245760918,0.18940965831279755,0.23864692077040672,ID654
-120.7237,39.1135,Sara2_NPP167,"Vicca et al. 2012;Luyssaert et al., 2007",1366,2005,2005,2005,2005,59,NA,140,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,43.65,NA,1.3516609392898054,NA,NA,15489.684608621274,15.681303548303745,492.05191094850954,1.2435264050258488,0.33841027486019865,44.443463014162845,9.826261675492088,83.03950540695052,144.75743313192774,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID655
